epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12415.4,1.54079,3.01109,0.68843,0.78569,0.55082,0.63084,0.34381,1.45209,2.72406,0.65924,0.007921,0.007921,0.007921
44,12699.8,1.54048,3.00314,0.68806,0.78817,0.55811,0.62964,0.34147,1.47549,2.68528,0.65947,0.0078715,0.0078715,0.0078715
45,12984.5,1.53073,2.99142,0.68912,0.79909,0.55552,0.63004,0.34176,1.4777,2.66329,0.66409,0.007822,0.007822,0.007822
46,13269.3,1.53007,2.97618,0.68653,0.79278,0.56557,0.63481,0.34422,1.45622,2.60885,0.6578,0.0077725,0.0077725,0.0077725
47,13554.1,1.5307,2.95296,0.68428,0.76344,0.57286,0.63754,0.33974,1.48235,2.64297,0.66054,0.007723,0.007723,0.007723
48,13838.5,1.5277,2.96311,0.68686,0.77918,0.5601,0.63553,0.33525,1.5004,2.65467,0.66243,0.0076735,0.0076735,0.0076735
49,14123.1,1.52405,2.94385,0.68582,0.78864,0.55919,0.63626,0.34361,1.4803,2.67935,0.66129,0.007624,0.007624,0.007624
50,14407.7,1.51968,2.92033,0.68169,0.79203,0.57218,0.6447,0.34595,1.48984,2.64091,0.66053,0.0075745,0.0075745,0.0075745
51,14692.3,1.5055,2.90252,0.68167,0.77882,0.5709,0.63775,0.34805,1.45621,2.62564,0.65317,0.007525,0.007525,0.007525
52,14976.2,1.50975,2.913,0.68365,0.79091,0.56966,0.63755,0.34462,1.47363,2.64858,0.6547,0.0074755,0.0074755,0.0074755
53,15261.3,1.53674,2.95037,0.68441,0.77822,0.58084,0.64913,0.35267,1.45592,2.59,0.65638,0.007426,0.007426,0.007426
54,15545.7,1.51761,2.90039,0.68489,0.77451,0.57197,0.64021,0.343,1.47846,2.62449,0.65608,0.0073765,0.0073765,0.0073765
55,15830.6,1.50984,2.89712,0.6802,0.77952,0.56737,0.64412,0.35225,1.44648,2.62945,0.65166,0.007327,0.007327,0.007327
56,16115.2,1.50599,2.87913,0.679,0.78862,0.56878,0.64413,0.35037,1.45762,2.57284,0.65445,0.0072775,0.0072775,0.0072775
57,16399.7,1.50496,2.85841,0.68305,0.79299,0.56845,0.64413,0.34998,1.4442,2.58038,0.65362,0.007228,0.007228,0.007228
58,16684.3,1.49862,2.86527,0.6796,0.77877,0.58035,0.64777,0.35782,1.43088,2.55585,0.64881,0.0071785,0.0071785,0.0071785
59,16968.8,1.50294,2.85384,0.67759,0.78499,0.57843,0.64803,0.35819,1.41172,2.56182,0.65019,0.007129,0.007129,0.007129
60,17253.1,1.49488,2.83666,0.67664,0.76599,0.58447,0.64632,0.35801,1.43032,2.56933,0.6531,0.0070795,0.0070795,0.0070795
61,17537.5,1.49598,2.83961,0.67962,0.76571,0.58504,0.64862,0.3607,1.42058,2.52677,0.64934,0.00703,0.00703,0.00703
62,17821.9,1.48166,2.78246,0.67234,0.77495,0.58821,0.6586,0.3574,1.44046,2.53138,0.6512,0.0069805,0.0069805,0.0069805
63,18106.5,1.49329,2.79827,0.67893,0.78409,0.58747,0.65817,0.36128,1.42134,2.53077,0.64874,0.006931,0.006931,0.006931
64,18390.8,1.48358,2.78017,0.67429,0.77725,0.57285,0.64475,0.35655,1.44552,2.58485,0.65292,0.0068815,0.0068815,0.0068815
65,18675.4,1.48589,2.80943,0.67887,0.81222,0.57037,0.65038,0.35696,1.42302,2.52831,0.64983,0.006832,0.006832,0.006832
66,18960,1.48868,2.81081,0.67576,0.7792,0.58743,0.65603,0.3621,1.40756,2.52909,0.64805,0.0067825,0.0067825,0.0067825
67,19244.3,1.48829,2.78607,0.67563,0.80408,0.57246,0.65721,0.35968,1.41708,2.51649,0.64625,0.006733,0.006733,0.006733
68,19528.6,1.47284,2.75755,0.67695,0.78732,0.58428,0.65811,0.36488,1.39883,2.51195,0.64744,0.0066835,0.0066835,0.0066835
69,19813.4,1.47934,2.78232,0.67207,0.7853,0.58411,0.66593,0.36678,1.41671,2.49507,0.64556,0.006634,0.006634,0.006634
70,20097.7,1.47398,2.7493,0.67185,0.78698,0.58541,0.65574,0.35848,1.42638,2.56759,0.64883,0.0065845,0.0065845,0.0065845
71,20382.5,1.46473,2.73946,0.67167,0.80194,0.57847,0.65763,0.36283,1.40905,2.50298,0.64869,0.006535,0.006535,0.006535
72,20667.4,1.47067,2.74582,0.67197,0.79713,0.5866,0.6643,0.37198,1.38288,2.47051,0.64407,0.0064855,0.0064855,0.0064855
73,20952.4,1.46036,2.71448,0.67066,0.77941,0.59321,0.66321,0.36877,1.40264,2.49228,0.6461,0.006436,0.006436,0.006436
74,21237,1.47581,2.75083,0.67043,0.77235,0.60116,0.66702,0.36971,1.40452,2.48218,0.64407,0.0063865,0.0063865,0.0063865
75,21521.1,1.45426,2.70882,0.66888,0.76006,0.59166,0.65923,0.37002,1.39285,2.45912,0.64492,0.006337,0.006337,0.006337
76,21806,1.46395,2.72091,0.67001,0.79707,0.58105,0.66187,0.36789,1.39209,2.43579,0.647,0.0062875,0.0062875,0.0062875
77,22090.2,1.45445,2.69247,0.67024,0.80654,0.58581,0.66153,0.3736,1.37151,2.43358,0.64221,0.006238,0.006238,0.006238
78,22374.6,1.44435,2.67375,0.66927,0.79126,0.58833,0.65814,0.36871,1.39372,2.47133,0.64521,0.0061885,0.0061885,0.0061885
79,22659,1.4524,2.69665,0.66771,0.80725,0.58186,0.65883,0.37,1.37766,2.43612,0.64352,0.006139,0.006139,0.006139
80,22943.7,1.44995,2.67733,0.66451,0.79375,0.59466,0.66875,0.37307,1.40727,2.46867,0.64319,0.0060895,0.0060895,0.0060895
81,23228.3,1.45261,2.67354,0.67031,0.80036,0.59473,0.66831,0.37653,1.35955,2.41328,0.63766,0.00604,0.00604,0.00604
82,23512.7,1.43603,2.63509,0.66569,0.78652,0.59495,0.66435,0.37201,1.38466,2.43469,0.64384,0.0059905,0.0059905,0.0059905
83,23797.1,1.44783,2.63946,0.66466,0.79556,0.59306,0.66941,0.37496,1.38181,2.41966,0.64065,0.005941,0.005941,0.005941
84,24081.7,1.44047,2.64615,0.6654,0.79477,0.59392,0.66434,0.37515,1.37292,2.40992,0.64058,0.0058915,0.0058915,0.0058915
85,24366.2,1.43749,2.61907,0.66644,0.7998,0.59329,0.66943,0.37453,1.38554,2.40387,0.64287,0.005842,0.005842,0.005842
86,24650.3,1.43379,2.63429,0.66191,0.79528,0.59524,0.67408,0.38167,1.37501,2.37704,0.64394,0.0057925,0.0057925,0.0057925
87,24935,1.44782,2.63603,0.66763,0.8186,0.58754,0.67191,0.37455,1.38776,2.39121,0.64408,0.005743,0.005743,0.005743
88,25219.4,1.42198,2.59903,0.66333,0.79962,0.59893,0.6736,0.37678,1.38332,2.40058,0.64251,0.0056935,0.0056935,0.0056935
89,25504,1.44097,2.6311,0.66282,0.80861,0.59277,0.6733,0.3781,1.38503,2.39306,0.64259,0.005644,0.005644,0.005644
90,25788.2,1.42788,2.59569,0.66341,0.80377,0.58884,0.67526,0.38026,1.37352,2.38471,0.64167,0.0055945,0.0055945,0.0055945
91,26072.9,1.42968,2.60446,0.66473,0.78713,0.59729,0.67207,0.37784,1.37062,2.39337,0.64134,0.005545,0.005545,0.005545
92,26357.6,1.42235,2.58268,0.66374,0.80484,0.59679,0.67489,0.37991,1.37935,2.41062,0.64174,0.0054955,0.0054955,0.0054955
93,26642,1.42785,2.56828,0.66102,0.79591,0.59168,0.67104,0.37875,1.36958,2.42608,0.64189,0.005446,0.005446,0.005446
94,26926.7,1.41155,2.55499,0.65903,0.79238,0.60629,0.67162,0.38043,1.37007,2.38459,0.6409,0.0053965,0.0053965,0.0053965
95,27211,1.41375,2.56792,0.65831,0.78876,0.60512,0.67581,0.38366,1.36137,2.3771,0.64002,0.005347,0.005347,0.005347
96,27495.7,1.42768,2.57961,0.66187,0.81191,0.58698,0.6777,0.38554,1.35516,2.37414,0.63887,0.0052975,0.0052975,0.0052975
97,27779.8,1.4056,2.53026,0.65674,0.8005,0.60272,0.68372,0.39009,1.35142,2.38122,0.63874,0.005248,0.005248,0.005248
98,28064.3,1.4116,2.56979,0.65957,0.81738,0.58475,0.67692,0.38782,1.35742,2.35698,0.63861,0.0051985,0.0051985,0.0051985
99,28348.9,1.41926,2.54592,0.65653,0.80172,0.60422,0.68097,0.38861,1.35468,2.34751,0.63896,0.005149,0.005149,0.005149
100,28633.2,1.40601,2.51674,0.65629,0.79746,0.59673,0.67682,0.38646,1.36356,2.36297,0.63976,0.0050995,0.0050995,0.0050995
101,28917.9,1.40688,2.52108,0.65799,0.81208,0.58787,0.67756,0.38567,1.35118,2.37118,0.63785,0.00505,0.00505,0.00505
