epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12242.6,1.63869,3.49965,0.74758,0.76035,0.59655,0.65796,0.34267,1.57773,2.99673,0.71118,0.007921,0.007921,0.007921
44,12524.3,1.63413,3.48812,0.74773,0.7662,0.5949,0.65933,0.34233,1.56863,2.95269,0.70697,0.0078715,0.0078715,0.0078715
45,12820.3,1.63062,3.49633,0.75074,0.76546,0.58955,0.65324,0.34259,1.55704,2.99987,0.70948,0.007822,0.007822,0.007822
46,13112.1,1.62304,3.47009,0.74362,0.76621,0.6014,0.65605,0.34423,1.55877,2.91985,0.7076,0.0077725,0.0077725,0.0077725
47,13708.8,1.63024,3.44805,0.74328,0.77878,0.57657,0.6554,0.34013,1.57864,2.96831,0.70936,0.007723,0.007723,0.007723
48,13996.8,1.62509,3.47259,0.74262,0.77406,0.5923,0.65772,0.34109,1.59059,2.93578,0.71088,0.0076735,0.0076735,0.0076735
49,14294.1,1.62365,3.44309,0.74576,0.76114,0.60168,0.66229,0.34538,1.54825,2.91241,0.70486,0.007624,0.007624,0.007624
50,14591.7,1.62263,3.43084,0.74187,0.75142,0.59815,0.6545,0.34121,1.591,2.95527,0.71178,0.0075745,0.0075745,0.0075745
51,14882.9,1.60834,3.39469,0.74139,0.77762,0.59439,0.66194,0.34702,1.55716,2.93274,0.70486,0.007525,0.007525,0.007525
52,15181.8,1.61145,3.40844,0.7433,0.77937,0.59043,0.66493,0.34932,1.55385,2.93957,0.70438,0.0074755,0.0074755,0.0074755
53,15466.2,1.62514,3.43878,0.74061,0.77185,0.60924,0.67098,0.35425,1.53805,2.88347,0.70368,0.007426,0.007426,0.007426
54,15749.3,1.6128,3.3809,0.74095,0.77922,0.58704,0.65989,0.34687,1.55815,2.92769,0.70656,0.0073765,0.0073765,0.0073765
55,16021.4,1.60679,3.35445,0.73876,0.77244,0.60585,0.67423,0.3502,1.57869,2.88005,0.7061,0.007327,0.007327,0.007327
56,16294.6,1.60241,3.34606,0.73761,0.78601,0.60366,0.66778,0.3517,1.53411,2.87159,0.7015,0.0072775,0.0072775,0.0072775
57,16574.2,1.61207,3.36743,0.74203,0.77303,0.60534,0.6659,0.34984,1.56406,2.86592,0.70636,0.007228,0.007228,0.007228
58,16872.9,1.60107,3.3476,0.73882,0.77436,0.60628,0.67325,0.35775,1.52704,2.82635,0.69924,0.0071785,0.0071785,0.0071785
59,17168.8,1.61447,3.37253,0.73931,0.76767,0.60526,0.66867,0.3535,1.54749,2.85118,0.70488,0.007129,0.007129,0.007129
60,17549.7,1.59478,3.33188,0.73492,0.77475,0.6114,0.66771,0.35399,1.54266,2.83916,0.70154,0.0070795,0.0070795,0.0070795
61,17844,1.60039,3.34208,0.74055,0.77025,0.60564,0.67037,0.35791,1.53511,2.84144,0.70072,0.00703,0.00703,0.00703
62,18122,1.5883,3.26836,0.73211,0.77568,0.60483,0.67171,0.35531,1.54101,2.84021,0.70179,0.0069805,0.0069805,0.0069805
63,18404.8,1.59958,3.30533,0.73699,0.78749,0.60164,0.66744,0.35355,1.54233,2.84202,0.70138,0.006931,0.006931,0.006931
64,18706.9,1.58661,3.27768,0.73289,0.76613,0.61522,0.67609,0.3575,1.54792,2.86913,0.70226,0.0068815,0.0068815,0.0068815
65,19006.7,1.5952,3.31197,0.73748,0.77825,0.60504,0.6758,0.35801,1.525,2.79795,0.69978,0.006832,0.006832,0.006832
66,19305.6,1.59448,3.30563,0.73327,0.79454,0.60289,0.67906,0.36048,1.52683,2.83978,0.69724,0.0067825,0.0067825,0.0067825
67,19606,1.59886,3.29389,0.73431,0.79261,0.60532,0.67622,0.3597,1.52217,2.81404,0.69585,0.006733,0.006733,0.006733
68,19898,1.58091,3.25689,0.73317,0.78443,0.60696,0.67471,0.36093,1.5129,2.81691,0.6966,0.0066835,0.0066835,0.0066835
