epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,48775,1.30396,0.84624,0.98663,0.70788,0.62129,0.69358,0.35641,1.59615,1.00814,1.04127,0.007921,0.007921,0.007921
44,49850.6,1.28921,0.8439,0.97369,0.80849,0.58034,0.69711,0.36924,1.53147,0.96681,1.0356,0.0078715,0.0078715,0.0078715
45,50913.6,1.30882,0.84011,0.97698,0.77684,0.65213,0.73232,0.38846,1.50815,0.92212,1.02492,0.007822,0.007822,0.007822
46,52036.2,1.27425,0.82161,0.967,0.80111,0.61186,0.70541,0.39105,1.48146,1.00171,1.02269,0.0077725,0.0077725,0.0077725
47,53205.8,1.26305,0.80975,0.96519,0.74793,0.6469,0.71483,0.39203,1.48965,0.93948,1.01711,0.007723,0.007723,0.007723
48,54386.8,1.27753,0.81319,0.97049,0.77829,0.63747,0.70262,0.37532,1.58883,0.97496,1.04352,0.0076735,0.0076735,0.0076735
49,55565.5,1.28098,0.82039,0.97249,0.76966,0.62938,0.70754,0.38397,1.56993,0.92456,1.03523,0.007624,0.007624,0.007624
50,56758.8,1.27688,0.81198,0.97056,0.77345,0.64016,0.70366,0.38789,1.50623,0.93456,1.03034,0.0075745,0.0075745,0.0075745
51,57939.6,1.26585,0.81506,0.96159,0.76969,0.62803,0.70945,0.38245,1.51831,0.94158,1.03102,0.007525,0.007525,0.007525
52,59119.7,1.27169,0.81329,0.96539,0.79241,0.61725,0.70993,0.38248,1.55789,0.96301,1.02686,0.0074755,0.0074755,0.0074755
53,60298.8,1.28407,0.8099,0.96091,0.76796,0.64825,0.71893,0.37701,1.59733,0.9446,1.04518,0.007426,0.007426,0.007426
54,61480.6,1.25963,0.79114,0.96511,0.75311,0.64134,0.71621,0.38922,1.51998,0.92993,1.02226,0.0073765,0.0073765,0.0073765
55,62670.5,1.26725,0.78599,0.95883,0.79119,0.65229,0.7319,0.39587,1.51674,0.9354,1.01865,0.007327,0.007327,0.007327
56,63858.4,1.24437,0.79764,0.95876,0.8074,0.6469,0.71484,0.38691,1.5275,0.943,1.03927,0.0072775,0.0072775,0.0072775
57,65053.7,1.23602,0.77621,0.9575,0.78551,0.61995,0.70139,0.3815,1.52916,0.95921,1.02168,0.007228,0.007228,0.007228
58,66248.9,1.22469,0.77439,0.94906,0.7729,0.64215,0.70935,0.39565,1.49939,0.9228,1.02993,0.0071785,0.0071785,0.0071785
59,67435.1,1.21781,0.76622,0.95043,0.81432,0.63834,0.72237,0.392,1.51764,0.91079,1.03389,0.007129,0.007129,0.007129
60,68630.1,1.22816,0.76019,0.95416,0.79056,0.64555,0.71775,0.39427,1.51274,0.89188,1.03193,0.0070795,0.0070795,0.0070795
61,69819.9,1.23836,0.77018,0.94834,0.78398,0.63583,0.71926,0.39583,1.48177,0.89387,1.03255,0.00703,0.00703,0.00703
62,71012,1.21566,0.75186,0.94766,0.82704,0.62129,0.71422,0.39869,1.51025,0.91507,1.02597,0.0069805,0.0069805,0.0069805
63,72207.6,1.21876,0.76349,0.95009,0.76681,0.63477,0.70833,0.38915,1.48857,0.93934,1.02844,0.006931,0.006931,0.006931
64,73412.5,1.20596,0.74289,0.93952,0.80456,0.64825,0.72138,0.39728,1.532,0.97565,1.02822,0.0068815,0.0068815,0.0068815
65,74602.6,1.1972,0.74481,0.94214,0.8137,0.63342,0.73463,0.39235,1.53831,0.90543,1.02792,0.006832,0.006832,0.006832
66,75794.5,1.20832,0.75147,0.94488,0.80541,0.64825,0.73036,0.39081,1.52895,0.92429,1.02662,0.0067825,0.0067825,0.0067825
67,76988,1.19577,0.73947,0.94197,0.80408,0.62129,0.71532,0.39004,1.53568,0.9297,1.03506,0.006733,0.006733,0.006733
68,78181.8,1.18786,0.73383,0.9393,0.80437,0.66442,0.74347,0.40016,1.50197,0.88899,1.02676,0.0066835,0.0066835,0.0066835
69,79367.7,1.18958,0.73002,0.93978,0.77296,0.67925,0.74053,0.4019,1.55086,0.89503,1.02508,0.006634,0.006634,0.006634
70,80563.5,1.17941,0.72511,0.93599,0.83016,0.62581,0.73644,0.4108,1.46676,0.91191,1.01294,0.0065845,0.0065845,0.0065845
71,81756.7,1.20673,0.73358,0.94709,0.82785,0.60647,0.72928,0.40129,1.49985,0.93491,1.01556,0.006535,0.006535,0.006535
72,82948.7,1.184,0.72427,0.93636,0.76517,0.66981,0.72768,0.40209,1.52266,0.91511,1.02289,0.0064855,0.0064855,0.0064855
73,84145.6,1.17942,0.72052,0.92968,0.80198,0.65768,0.74049,0.40881,1.49564,0.88958,1.02415,0.006436,0.006436,0.006436
74,85332,1.17794,0.71659,0.9371,0.77929,0.66173,0.72892,0.40538,1.50875,0.89737,1.01806,0.0063865,0.0063865,0.0063865
75,86517.7,1.15072,0.70331,0.92808,0.79929,0.63331,0.71342,0.39138,1.50464,0.92287,1.02562,0.006337,0.006337,0.006337
76,87703,1.16166,0.69418,0.92937,0.79013,0.65094,0.73249,0.38794,1.56196,0.93162,1.0362,0.0062875,0.0062875,0.0062875
77,88880.1,1.16121,0.71163,0.93386,0.79219,0.64286,0.72174,0.39246,1.51158,0.92338,1.03157,0.006238,0.006238,0.006238
78,90055.7,1.1813,0.71696,0.93373,0.766,0.66712,0.72399,0.38774,1.53781,0.90979,1.02408,0.0061885,0.0061885,0.0061885
79,91237.7,1.16415,0.71593,0.9288,0.79289,0.63979,0.73262,0.40281,1.51766,0.88675,1.02293,0.006139,0.006139,0.006139
80,92419.9,1.13628,0.69085,0.92417,0.79389,0.66963,0.74217,0.40844,1.47508,0.88572,1.01184,0.0060895,0.0060895,0.0060895
81,93594.9,1.1368,0.6877,0.92448,0.80665,0.66442,0.74722,0.41129,1.47327,0.89926,1.00315,0.00604,0.00604,0.00604
82,94765,1.13024,0.68771,0.91956,0.77871,0.65903,0.73479,0.40079,1.49306,0.89874,1.01901,0.0059905,0.0059905,0.0059905
83,95884.4,1.13884,0.6906,0.9263,0.7926,0.63208,0.71273,0.39301,1.52596,0.91462,1.035,0.005941,0.005941,0.005941
84,96995.4,1.14367,0.69137,0.9243,0.78373,0.65445,0.7273,0.39757,1.5139,0.91911,1.02271,0.0058915,0.0058915,0.0058915
85,98109,1.12331,0.67861,0.92079,0.80099,0.62938,0.72663,0.40187,1.49603,0.9214,1.0205,0.005842,0.005842,0.005842
86,99206.7,1.14322,0.69411,0.92496,0.80128,0.6496,0.73092,0.39622,1.48823,0.90945,1.03318,0.0057925,0.0057925,0.0057925
87,100309,1.12224,0.6639,0.9146,0.84006,0.62938,0.73126,0.40534,1.49437,0.90215,1.0256,0.005743,0.005743,0.005743
88,101449,1.12068,0.66887,0.91995,0.81561,0.67361,0.73913,0.40351,1.49863,0.86902,1.02302,0.0056935,0.0056935,0.0056935
89,102600,1.11728,0.67735,0.92107,0.84464,0.62278,0.7376,0.41099,1.51842,0.89461,1.02876,0.005644,0.005644,0.005644
90,103755,1.08807,0.64522,0.91053,0.7731,0.6496,0.71999,0.40386,1.48613,0.89997,1.03092,0.0055945,0.0055945,0.0055945
91,104913,1.12298,0.66262,0.92014,0.82259,0.63739,0.72737,0.39992,1.51994,0.89738,1.04164,0.005545,0.005545,0.005545
92,106066,1.10829,0.65616,0.916,0.80096,0.63995,0.73494,0.40335,1.52542,0.89304,1.03279,0.0054955,0.0054955,0.0054955
93,107219,1.09788,0.64381,0.91275,0.79983,0.67854,0.75131,0.40943,1.52831,0.89573,1.0383,0.005446,0.005446,0.005446
94,108378,1.12295,0.66705,0.91214,0.80018,0.66981,0.75007,0.41809,1.48962,0.88343,1.01899,0.0053965,0.0053965,0.0053965
95,109527,1.10491,0.6475,0.90845,0.77229,0.67649,0.74691,0.40485,1.51758,0.90436,1.01848,0.005347,0.005347,0.005347
96,110677,1.08824,0.63346,0.90744,0.81848,0.66038,0.74835,0.41738,1.48067,0.85808,1.02307,0.0052975,0.0052975,0.0052975
97,111830,1.09881,0.6643,0.91544,0.78791,0.67655,0.74712,0.40945,1.49755,0.87033,1.02748,0.005248,0.005248,0.005248
98,112990,1.09298,0.64261,0.91356,0.80559,0.66038,0.74658,0.40534,1.51287,0.87948,1.03224,0.0051985,0.0051985,0.0051985
